provider_reference,negotiated_rate,billing_code,billing_code_type,negotiation_arrangement,negotiated_type,billing_class
58641,211.430000,0002M,CPT,ffs,negotiated,professional
5457,211.430000,0002M,CPT,ffs,negotiated,professional
26738,211.430000,0002M,CPT,ffs,negotiated,professional
58706,211.430000,0002M,CPT,ffs,negotiated,professional
60474,211.430000,0002M,CPT,ffs,negotiated,professional
54330,211.430000,0002M,CPT,ffs,negotiated,professional
26002,211.430000,0002M,CPT,ffs,negotiated,professional
9460,211.430000,0002M,CPT,ffs,negotiated,professional
1562,176.190000,0002M,CPT,ffs,negotiated,professional
52344,302.040000,0002M,CPT,ffs,negotiated,professional
32121,211.430000,0002M,CPT,ffs,negotiated,professional
30632,211.430000,0002M,CPT,ffs,negotiated,professional
10872,629.250000,0002M,CPT,ffs,negotiated,professional
41539,251.700000,0002M,CPT,ffs,negotiated,professional
16797,211.430000,0002M,CPT,ffs,negotiated,professional
37382,1761.900000,0002M,CPT,ffs,negotiated,professional
42062,211.430000,0002M,CPT,ffs,negotiated,professional
37809,503.400000,0002M,CPT,ffs,negotiated,professional
22706,211.430000,0002M,CPT,ffs,negotiated,professional
40476,251.700000,0002M,CPT,ffs,negotiated,professional
39669,211.430000,0002M,CPT,ffs,negotiated,professional
3091,855.780000,0002M,CPT,ffs,negotiated,professional
37923,251.700000,0002M,CPT,ffs,negotiated,professional
15391,302.040000,0002M,CPT,ffs,negotiated,professional
61766,211.430000,0002M,CPT,ffs,negotiated,professional
32967,523.540000,0002M,CPT,ffs,negotiated,professional
38774,211.430000,0002M,CPT,ffs,negotiated,professional
41999,211.430000,0002M,CPT,ffs,negotiated,professional
16860,291.970000,0002M,CPT,ffs,negotiated,professional
8075,211.430000,0002M,CPT,ffs,negotiated,professional
28423,211.430000,0002M,CPT,ffs,negotiated,professional
54540,211.430000,0002M,CPT,ffs,negotiated,professional
42939,969.050000,0002M,CPT,ffs,negotiated,professional
23088,211.430000,0002M,CPT,ffs,negotiated,professional
32691,211.430000,0002M,CPT,ffs,negotiated,professional
23444,251.700000,0002M,CPT,ffs,negotiated,professional
9836,226.530000,0002M,CPT,ffs,negotiated,professional
42744,1496.510000,0002M,CPT,ffs,negotiated,professional
41542,302.040000,0002M,CPT,ffs,negotiated,professional
47012,211.430000,0002M,CPT,ffs,negotiated,professional
25203,211.430000,0002M,CPT,ffs,negotiated,professional
5522,251.700000,0002M,CPT,ffs,negotiated,professional
43495,211.430000,0002M,CPT,ffs,negotiated,professional
13079,302.040000,0002M,CPT,ffs,negotiated,professional
52311,302.040000,0002M,CPT,ffs,negotiated,professional
31941,211.430000,0002M,CPT,ffs,negotiated,professional
20659,211.430000,0002M,CPT,ffs,negotiated,professional
17365,302.040000,0002M,CPT,ffs,negotiated,professional
45163,211.430000,0002M,CPT,ffs,negotiated,professional
50640,302.040000,0002M,CPT,ffs,negotiated,professional
59072,654.420000,0002M,CPT,ffs,negotiated,professional
26687,211.430000,0002M,CPT,ffs,negotiated,professional
30518,1006.800000,0002M,CPT,ffs,negotiated,professional
7858,211.430000,0002M,CPT,ffs,negotiated,professional
58811,211.430000,0002M,CPT,ffs,negotiated,professional
1341,211.430000,0002M,CPT,ffs,negotiated,professional
33392,211.430000,0002M,CPT,ffs,negotiated,professional
47616,211.430000,0002M,CPT,ffs,negotiated,professional
44176,211.430000,0002M,CPT,ffs,negotiated,professional
49654,211.430000,0002M,CPT,ffs,negotiated,professional
40897,211.430000,0002M,CPT,ffs,negotiated,professional
8516,226.530000,0002M,CPT,ffs,negotiated,professional
60557,211.430000,0002M,CPT,ffs,negotiated,professional
58941,211.430000,0002M,CPT,ffs,negotiated,professional
26673,251.700000,0002M,CPT,ffs,negotiated,professional
26298,503.400000,0002M,CPT,ffs,negotiated,professional
44169,211.430000,0002M,CPT,ffs,negotiated,professional
30702,302.040000,0002M,CPT,ffs,negotiated,professional
55694,302.040000,0002M,CPT,ffs,negotiated,professional
32850,302.040000,0002M,CPT,ffs,negotiated,professional
3079,302.040000,0002M,CPT,ffs,negotiated,professional
18548,211.430000,0002M,CPT,ffs,negotiated,professional
58185,221.500000,0002M,CPT,ffs,negotiated,professional
43951,211.430000,0002M,CPT,ffs,negotiated,professional
25214,211.430000,0002M,CPT,ffs,negotiated,professional
9335,211.430000,0002M,CPT,ffs,negotiated,professional
31292,302.040000,0002M,CPT,ffs,negotiated,professional
50098,211.430000,0002M,CPT,ffs,negotiated,professional
24620,251.700000,0002M,CPT,ffs,negotiated,professional
17838,211.430000,0002M,CPT,ffs,negotiated,professional
42308,251.700000,0002M,CPT,ffs,negotiated,professional
46377,211.430000,0002M,CPT,ffs,negotiated,professional
21130,211.430000,0002M,CPT,ffs,negotiated,professional
20694,302.040000,0002M,CPT,ffs,negotiated,professional
43570,211.430000,0002M,CPT,ffs,negotiated,professional
16783,302.040000,0002M,CPT,ffs,negotiated,professional
28426,302.040000,0002M,CPT,ffs,negotiated,professional
10177,211.430000,0002M,CPT,ffs,negotiated,professional
47231,604.080000,0002M,CPT,ffs,negotiated,professional
54377,302.040000,0002M,CPT,ffs,negotiated,professional
12075,211.430000,0002M,CPT,ffs,negotiated,professional
61463,211.430000,0002M,CPT,ffs,negotiated,professional
8130,211.430000,0002M,CPT,ffs,negotiated,professional
19060,679.590000,0002M,CPT,ffs,negotiated,professional
4992,256.730000,0002M,CPT,ffs,negotiated,professional
21675,302.040000,0002M,CPT,ffs,negotiated,professional
4109,211.430000,0002M,CPT,ffs,negotiated,professional
47533,211.430000,0002M,CPT,ffs,negotiated,professional
15804,211.430000,0002M,CPT,ffs,negotiated,professional
45454,241.630000,0002M,CPT,ffs,negotiated,professional
27718,1052.420000,0002M,CPT,ffs,negotiated,professional
2464,302.040000,0002M,CPT,ffs,negotiated,professional
49036,226.530000,0002M,CPT,ffs,negotiated,professional
5592,211.430000,0002M,CPT,ffs,negotiated,professional
24618,251.700000,0002M,CPT,ffs,negotiated,professional
42860,302.040000,0002M,CPT,ffs,negotiated,professional
41406,326.710000,0002M,CPT,ffs,negotiated,professional
22084,211.430000,0002M,CPT,ffs,negotiated,professional
32764,302.040000,0002M,CPT,ffs,negotiated,professional
44571,211.430000,0002M,CPT,ffs,negotiated,professional
49105,302.040000,0002M,CPT,ffs,negotiated,professional
61683,211.430000,0002M,CPT,ffs,negotiated,professional
35448,302.040000,0002M,CPT,ffs,negotiated,professional
9527,302.040000,0002M,CPT,ffs,negotiated,professional
2070,211.430000,0002M,CPT,ffs,negotiated,professional
32930,302.040000,0002M,CPT,ffs,negotiated,professional
31538,211.430000,0002M,CPT,ffs,negotiated,professional
7869,503.400000,0002M,CPT,ffs,negotiated,professional
28282,211.430000,0002M,CPT,ffs,negotiated,professional
16850,302.040000,0002M,CPT,ffs,negotiated,professional
2370,211.430000,0002M,CPT,ffs,negotiated,professional
16461,176.190000,0002M,CPT,ffs,negotiated,professional
1571,302.040000,0002M,CPT,ffs,negotiated,professional
13526,211.430000,0002M,CPT,ffs,negotiated,professional
46656,211.430000,0002M,CPT,ffs,negotiated,professional
13380,211.430000,0002M,CPT,ffs,negotiated,professional
44057,307.070000,0002M,CPT,ffs,negotiated,professional
44619,211.430000,0002M,CPT,ffs,negotiated,professional
33519,211.430000,0002M,CPT,ffs,negotiated,professional
57024,302.040000,0002M,CPT,ffs,negotiated,professional
47511,302.040000,0002M,CPT,ffs,negotiated,professional
14073,294.110000,0002M,CPT,ffs,negotiated,professional
56892,302.040000,0002M,CPT,ffs,negotiated,professional
42863,302.040000,0002M,CPT,ffs,negotiated,professional
14761,211.430000,0002M,CPT,ffs,negotiated,professional
50585,302.040000,0002M,CPT,ffs,negotiated,professional
55831,211.430000,0002M,CPT,ffs,negotiated,professional
53729,211.430000,0002M,CPT,ffs,negotiated,professional
10326,302.040000,0002M,CPT,ffs,negotiated,professional
30927,503.400000,0002M,CPT,ffs,negotiated,professional
15927,211.430000,0002M,CPT,ffs,negotiated,professional
55871,302.040000,0002M,CPT,ffs,negotiated,professional
37490,1006.800000,0002M,CPT,ffs,negotiated,professional
1677,211.430000,0002M,CPT,ffs,negotiated,professional
21890,211.430000,0002M,CPT,ffs,negotiated,professional
15300,302.040000,0002M,CPT,ffs,negotiated,professional
4401,211.430000,0002M,CPT,ffs,negotiated,professional
37632,211.430000,0002M,CPT,ffs,negotiated,professional
17852,211.430000,0002M,CPT,ffs,negotiated,professional
42251,302.040000,0002M,CPT,ffs,negotiated,professional
49330,503.400000,0002M,CPT,ffs,negotiated,professional
52477,1157.820000,0002M,CPT,ffs,negotiated,professional
41087,302.040000,0002M,CPT,ffs,negotiated,professional
13464,211.430000,0002M,CPT,ffs,negotiated,professional
47539,211.430000,0002M,CPT,ffs,negotiated,professional
7778,302.040000,0002M,CPT,ffs,negotiated,professional
15808,276.870000,0002M,CPT,ffs,negotiated,professional
6879,211.430000,0002M,CPT,ffs,negotiated,professional
892,302.040000,0002M,CPT,ffs,negotiated,professional
42458,211.430000,0002M,CPT,ffs,negotiated,professional
40551,453.060000,0002M,CPT,ffs,negotiated,institutional
40148,211.430000,0002M,CPT,ffs,negotiated,professional
11664,211.430000,0002M,CPT,ffs,negotiated,professional
24774,211.430000,0002M,CPT,ffs,negotiated,professional
23785,503.400000,0002M,CPT,ffs,negotiated,professional
5188,226.530000,0002M,CPT,ffs,negotiated,professional
9805,211.430000,0002M,CPT,ffs,negotiated,professional
16711,211.430000,0002M,CPT,ffs,negotiated,professional
44047,211.430000,0002M,CPT,ffs,negotiated,professional
36088,504.730000,0002M,CPT,ffs,negotiated,professional
3941,302.040000,0002M,CPT,ffs,negotiated,professional
4074,251.700000,0002M,CPT,ffs,negotiated,professional
12373,1154.750000,0002M,CPT,ffs,negotiated,professional
26411,211.430000,0002M,CPT,ffs,negotiated,professional
19720,503.400000,0002M,CPT,ffs,negotiated,professional
57528,211.430000,0002M,CPT,ffs,negotiated,professional
13708,211.430000,0002M,CPT,ffs,negotiated,professional
23986,211.430000,0002M,CPT,ffs,negotiated,professional
56871,302.040000,0002M,CPT,ffs,negotiated,professional
4898,302.040000,0002M,CPT,ffs,negotiated,professional
43225,302.040000,0002M,CPT,ffs,negotiated,professional
54948,251.700000,0002M,CPT,ffs,negotiated,professional
